id;name;geoid;geoname;value;datetime
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;29;2024-01-01T00:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;29;2024-01-01T01:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;29;2024-01-01T02:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;29;2024-01-01T03:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;29;2024-01-01T04:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;29;2024-01-01T05:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;28.91666666667;2024-01-01T06:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;28;2024-01-01T07:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;47.33333333333;2024-01-01T08:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;1085.41666666667;2024-01-01T09:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;4182.16666666667;2024-01-01T10:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;7367;2024-01-01T11:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;9137.41666666667;2024-01-01T12:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;9797;2024-01-01T13:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;10125.58333333333;2024-01-01T14:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;10315.66666666667;2024-01-01T15:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;6982.33333333333;2024-01-01T16:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;1856.58333333333;2024-01-01T17:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;62.16666666667;2024-01-01T18:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;32.25;2024-01-01T19:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;31.25;2024-01-01T20:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;31;2024-01-01T21:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30.91666666667;2024-01-01T22:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30.08333333333;2024-01-01T23:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30;2024-01-02T00:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30;2024-01-02T01:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30;2024-01-02T02:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30;2024-01-02T03:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30;2024-01-02T04:00:00+01:00
1295;Generación T.Real Solar fotovoltaica Península;8741;Península;30;2024-01-02T05:00:00+01:00
